,PAGE_URL_COMPLETE,name,color,imageUrl,Trending,Site,Category
19,trends.ajio.com/rangriti-textured-layered-kurta-suit-set/p/440953613_maroonburg,Textured Layered Kurta Suit Set,maroonburg,https://assets.ajio.com/medias/sys_master/root/h84/h72/14875860140062/rangriti_maroon_straight_textured_layered_kurta_suit_set.jpg,True,AJIO-TRENDS,popular
20,trends.ajio.com/avaasa-set-straight-kurta-with-churidar--dupatta/p/441024035_mustard,Straight Kurta with Churidar & Dupatta,mustard,https://assets.ajio.com/medias/sys_master/root/h1d/h44/15129311641630/avaasa_set_mustard_yellow_straight_straight_kurta_with_churidar_&_dupatta.jpg,False,AJIO-TRENDS,popular
21,trends.ajio.com/biba-striped-straight-kurta-with-floral-print-palazzos--dupatta/p/441069735_red,Striped Straight Kurta with Floral Print Palazzos & Dupatta,red,https://assets.ajio.com/medias/sys_master/root/h53/h5a/16113831411742/biba_red_&_white_straight_striped_straight_kurta_with_floral_print_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
22,trends.ajio.com/avaasa-set-floral-print-flared-kurta-with-churidar/p/441024016_teal,Floral Print Flared Kurta with Churidar,teal,https://assets.ajio.com/medias/sys_master/root/h64/hbc/15031424581662/avaasa_set_teal_blue_flared_floral_print_flared_kurta_with_churidar.jpg,False,AJIO-TRENDS,popular
23,trends.ajio.com/avaasa-set-a-line-kurta-with-churidar--dupatta/p/441024033_aquablue,A-line Kurta with Churidar & Dupatta,aquablue,https://assets.ajio.com/medias/sys_master/root/h2f/h67/15291981168670/avaasa_set_aqua_blue_a-line_a-line_kurta_with_churidar_&_dupatta.jpg,False,AJIO-TRENDS,popular
24,trends.ajio.com/avaasa-set-embroidered-straight-kurta-with-churidaar/p/441024042_mustard,Embroidered Straight Kurta with Churidaar,mustard,https://assets.ajio.com/medias/sys_master/root/h1d/he1/15138130067486/avaasa_set_mustard_yellow_straight_embroidered_straight_kurta_with_churidaar.jpg,False,AJIO-TRENDS,popular
25,trends.ajio.com/avaasa-set-printed-flared-kurta-with-churidar/p/441024016_burgandy,Printed Flared Kurta with Churidar,burgandy,https://assets.ajio.com/medias/sys_master/root/ha4/h4a/14922158211102/avaasa_set_burgundy_&_orange_flared_printed_flared_kurta_with_churidar.jpg,False,AJIO-TRENDS,popular
26,trends.ajio.com/first-class-floral-print-straight-kurta-with-pants--dupatta/p/441035173_royalblue,Floral Print Straight Kurta with Pants & Dupatta,royalblue,https://assets.ajio.com/medias/sys_master/root/h73/ha9/15624221720606/first_class_royal_blue_straight_floral_print_straight_kurta_with_pants_&_dupatta.jpg,False,AJIO-TRENDS,popular
27,trends.ajio.com/avaasa-set-embroidered-a-line-kurta-with-dupatta--palazzos/p/441039225_seablue,Embroidered A-line Kurta with Dupatta & Palazzos,seablue,https://assets.ajio.com/medias/sys_master/root/hc8/h99/15173247369246/avaasa_set_blue_a-line_embroidered_a-line_kurta_with_dupatta_&_palazzos.jpg,False,AJIO-TRENDS,popular
28,trends.ajio.com/first-class-floral-print-straight-kurta-with-pants--dupatta/p/441035175_mustard,Floral Print Straight Kurta with Pants & Dupatta,mustard,https://assets.ajio.com/medias/sys_master/root/h11/h34/15623940309022/first_class_mustard_&_white_straight_floral_print_straight_kurta_with_pants_&_dupatta.jpg,False,AJIO-TRENDS,popular
29,trends.ajio.com/avaasa-set-woven-straight-kurta--dupatta-set/p/440910601_red,Woven Straight Kurta & Dupatta Set,red,https://assets.ajio.com/medias/sys_master/root/hba/h75/12256351879198/avaasa_set_red_straight_woven_straight_kurta_&_dupatta_set.jpg,False,AJIO-TRENDS,popular
30,trends.ajio.com/biba-a-line-kurta-with-printed-palazzos--dupatta/p/441069708_white,A-line Kurta with Printed Palazzos & Dupatta,white,https://assets.ajio.com/medias/sys_master/root/h83/he6/16112450830366/biba_white_&_blue_a-line_a-line_kurta_with_printed_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
31,trends.ajio.com/biba-floral-print-straight-kurta-with-palazzos--dupatta/p/441069736_blue,Floral Print Straight Kurta with Palazzos & Dupatta,blue,https://assets.ajio.com/medias/sys_master/root/hea/h90/16112084877342/biba_blue_&_white_straight_floral_print_straight_kurta_with_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
32,trends.ajio.com/avaasa-set-layered-a-line-kurta-with-pants--dupatta/p/441051572_mustard,Layered A-line Kurta with Pants & Dupatta,mustard,https://assets.ajio.com/medias/sys_master/root/h69/h10/15172180508702/avaasa_set_mustard_a-line_layered_a-line_kurta_with_pants_&_dupatta.jpg,False,AJIO-TRENDS,popular
33,trends.ajio.com/avaasa-set-embroidered-straight-kurta-with-churidaar/p/441024042_coral,Embroidered Straight Kurta with Churidaar,coral,https://assets.ajio.com/medias/sys_master/root/h14/hec/14626380808222/avaasa_set_red_&_yellow_straight_embroidered_straight_kurta_with_churidaar.jpg,False,AJIO-TRENDS,popular
34,trends.ajio.com/avaasa-set-floral-print-straight-kurta-with-churidar/p/441024077_lightturquoise,Floral Print Straight Kurta with Churidar,lightturquoise,https://assets.ajio.com/medias/sys_master/root/h53/h1c/15605646557214/avaasa_set_light_turquoise_straight_floral_print_straight_kurta_with_churidar.jpg,False,AJIO-TRENDS,popular
35,trends.ajio.com/avaasa-set-foil-print-straight-kurta-with-mirror-work/p/440910593_magntafusha,Foil Print Straight Kurta with Mirror Work,magntafusha,https://assets.ajio.com/medias/sys_master/root/hfb/hb2/12772029169694/avaasa_set_red_straight_foil_print_straight_kurta_with_mirror_work.jpg,False,AJIO-TRENDS,popular
36,trends.ajio.com/rangriti-printed-straight-kurta-with-palazzo--dupatta/p/441071479_offwhite,Printed Straight Kurta with Palazzo & Dupatta,offwhite,https://assets.ajio.com/medias/sys_master/root/hdb/h27/16576981762078/rangriti_off_white_straight_printed_straight_kurta_with_palazzo_&_dupatta.jpg,False,AJIO-TRENDS,popular
37,trends.ajio.com/biba-floral-print-straight-kurta-with-palazzos--dupatta/p/441069762_cream,Floral Print Straight Kurta with Palazzos & Dupatta,cream,https://assets.ajio.com/medias/sys_master/root/h41/h22/16111619440670/biba_cream_straight_floral_print_straight_kurta_with_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
38,trends.ajio.com/biba-floral-print-straight-kurta-with-palazzos--dupatta/p/441069706_offwhite,Floral Print Straight Kurta with Palazzos & Dupatta,offwhite,https://assets.ajio.com/medias/sys_master/root/hc9/hd7/16114001018910/biba_off-white_&_blue_straight_floral_print_straight_kurta_with_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
39,trends.ajio.com/avaasa-set-printed-kurta-suit-set/p/441037337_offwhite,Printed Kurta Suit Set,offwhite,https://assets.ajio.com/medias/sys_master/root/he3/h85/15203521036318/avaasa_set_off-white_a-line_printed_kurta_suit_set.jpg,False,AJIO-TRENDS,popular
40,trends.ajio.com/juniper-printed-flared-kurta-with-palazzo--dupatta/p/441066712_red,Printed Flared Kurta with Palazzo & Dupatta,red,https://assets.ajio.com/medias/sys_master/root/h9a/h79/16111872278558/juniper_red_flared_printed_flared_kurta_with_palazzo_&_dupatta.jpg,False,AJIO-TRENDS,popular
41,trends.ajio.com/biba-floral-print-straight-kurta-with-palazzos--dupatta/p/441069761_indigo,Floral Print Straight Kurta with Palazzos & Dupatta,indigo,https://assets.ajio.com/medias/sys_master/root/hc4/h8f/16111590080542/biba_indigo_straight_floral_print_straight_kurta_with_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
42,trends.ajio.com/biba-straight-kurta-with-checked-palazzos--dupatta/p/441069698_beige,Straight Kurta with Checked Palazzos & Dupatta,beige,https://assets.ajio.com/medias/sys_master/root/h2d/h03/16112358752286/biba_off-white_straight_straight_kurta_with_checked_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
43,trends.ajio.com/aurelia-embroidered-straight-kurta-with-palazzos--dupatta/p/441026063_black,Embroidered Straight Kurta with Palazzos & Dupatta,black,https://assets.ajio.com/medias/sys_master/root/h46/h22/15989646458910/aurelia_black_straight_embroidered_straight_kurta_with_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
44,trends.ajio.com/avaasa-set-floral-print-straight-kurta-with-pants/p/441024029_teal,Floral Print Straight Kurta with Pants,teal,https://assets.ajio.com/medias/sys_master/root/h7d/h22/14798179270686/avaasa_set_teal_straight_floral_print_straight_kurta_with_pants.jpg,False,AJIO-TRENDS,popular
45,trends.ajio.com/avaasa-set-printed-kurta-with-patiala-pants--dupatta/p/440829301_offwhite,Printed Kurta with Patiala Pants & Dupatta,offwhite,https://assets.ajio.com/medias/sys_master/root/h64/hda/11083040194590/avaasa_set_red_&_off-white_straight_printed_kurta_with_patiala_pants_&_dupatta.jpg,False,AJIO-TRENDS,popular
46,trends.ajio.com/biba-striped-straight-kurta-with-palazzos--dupatta/p/441069687_turquiose,Striped Straight Kurta with Palazzos & Dupatta,turquiose,https://assets.ajio.com/medias/sys_master/root/hb4/h33/16112013967390/biba_blue_straight_striped_straight_kurta_with_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
47,trends.ajio.com/biba-a-line-kurta-with-printed-palazzos--dupatta/p/441069708_fuchsia,A-line Kurta with Printed Palazzos & Dupatta,fuchsia,https://assets.ajio.com/medias/sys_master/root/h72/hfa/16114040012830/biba_pink_a-line_a-line_kurta_with_printed_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
48,trends.ajio.com/avaasa-set-textured-straight-kurta-with-striped-palazzos--floral-print-dupatta-set/p/441037336_pink,Textured Straight Kurta with Striped Palazzos & Floral Print Dupatta Set,pink,https://assets.ajio.com/medias/sys_master/root/h68/h09/15397978636318/avaasa_set_pink_straight_textured_straight_kurta_with_striped_palazzos_&_floral_print_dupatta_set.jpg,False,AJIO-TRENDS,popular
