,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,merchantDetails,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,url_given,PAGE_URL_COMPLETE
0,1886230,126990,142251,https://product.koovs.com/142251_3662b9d3fcca4c7781da3da57f3422e6_image1_super_zoom.jpg,https://product.koovs.com/width/height/142251_3662b9d3fcca4c7781da3da57f3422e6_image1_super_zoom.jpg,Pineapple Print Curved Hem Shirt,Brave Soul,1699,759,55,Price After Sale,"[{'href': '/pineapple-print-shirt-126990-142251.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],True,INTERNATIONAL BRAND,False,False,False,False,/pineapple-print-shirt-126990-142251.html,www.koovs.com/pineapple-print-shirt-126990-142251.html
1,1938683,137710,154692,https://product.koovs.com/154692_b97df7ea0bb84c47bb108aca44f2f4a8_image1_super_zoom.jpg,https://product.koovs.com/width/height/154692_b97df7ea0bb84c47bb108aca44f2f4a8_image1_super_zoom.jpg,Vertical Stripe Cuban Collar Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-vertical-stripe-cuban-shirt-137710-154692.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-vertical-stripe-cuban-shirt-137710-154692.html,www.koovs.com/koovs-vertical-stripe-cuban-shirt-137710-154692.html
2,1937982,137572,154539,https://product.koovs.com/154539_663c4b964e1a4676903fc4bdd33a5f13_image1_super_zoom.jpg,https://product.koovs.com/width/height/154539_663c4b964e1a4676903fc4bdd33a5f13_image1_super_zoom.jpg,Vertical Stripe Cuban Collar Shirt,KOOVS,999,999,0,Price After Sale,"[{'href': '/koovs-vertical-stripe-cuban-shirt-137572-154539.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-vertical-stripe-cuban-shirt-137572-154539.html,www.koovs.com/koovs-vertical-stripe-cuban-shirt-137572-154539.html
3,1937978,137571,154538,https://product.koovs.com/154538_89451c7c75944e6ea07cffa2497a7fcc_image1_super_zoom.jpg,https://product.koovs.com/width/height/154538_89451c7c75944e6ea07cffa2497a7fcc_image1_super_zoom.jpg,Check Print Cuban Collar Shirt,KOOVS,999,999,0,Price After Sale,"[{'href': '/koovs-check-cuban-collar-shirt-137571-154538.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-check-cuban-collar-shirt-137571-154538.html,www.koovs.com/koovs-check-cuban-collar-shirt-137571-154538.html
4,1937971,137569,154536,https://product.koovs.com/154536_294eacb853424281853fa02a46cb6de9_image1_super_zoom.jpg,https://product.koovs.com/width/height/154536_294eacb853424281853fa02a46cb6de9_image1_super_zoom.jpg,Back Text Placement Print Check Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-back-print-check-shirt-137569-154536.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-back-print-check-shirt-137569-154536.html,www.koovs.com/koovs-back-print-check-shirt-137569-154536.html
5,1937251,137411,154378,https://product.koovs.com/154378_a00ba979d98848e6a87ec72f6feb66b1_image1_super_zoom.jpg,https://product.koovs.com/width/height/154378_a00ba979d98848e6a87ec72f6feb66b1_image1_super_zoom.jpg,Scribble Print Long Sleeve Shirt,KOOVS,1499,1499,0,Price After Sale,"[{'href': '/koovs-scribble-print-shirt-137411-154378.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-scribble-print-shirt-137411-154378.html,www.koovs.com/koovs-scribble-print-shirt-137411-154378.html
6,1937236,137408,154375,https://product.koovs.com/154375_776e7476eefe4b359e8a36172717504b_image1_super_zoom.jpg,https://product.koovs.com/width/height/154375_776e7476eefe4b359e8a36172717504b_image1_super_zoom.jpg,Lip Print Cuban Collar Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-lip-print-shirt-137408-154375.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-lip-print-shirt-137408-154375.html,www.koovs.com/koovs-lip-print-shirt-137408-154375.html
7,1937230,137407,154374,https://product.koovs.com/154374_caf2c0acd53d450ba6f2b34c6b2392cb_image1_super_zoom.jpg,https://product.koovs.com/width/height/154374_caf2c0acd53d450ba6f2b34c6b2392cb_image1_super_zoom.jpg,Island Print Cuban Collar Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-all-over-print-shirt-137407-154374.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-all-over-print-shirt-137407-154374.html,www.koovs.com/koovs-all-over-print-shirt-137407-154374.html
8,1936532,137277,154205,https://product.koovs.com/154205_8f760cce786a4a9481168c30b6077a80_image1_super_zoom.jpg,https://product.koovs.com/width/height/154205_8f760cce786a4a9481168c30b6077a80_image1_super_zoom.jpg,Cut & Sew Graffiti Sticker Print Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-cut-and-sew-shirt-137277-154205.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-cut-and-sew-shirt-137277-154205.html,www.koovs.com/koovs-cut-and-sew-shirt-137277-154205.html
9,1936346,137246,154171,https://product.koovs.com/154171_fbb4592c54134f1a8196b34a1855f603_image1_super_zoom.jpg,https://product.koovs.com/width/height/154171_fbb4592c54134f1a8196b34a1855f603_image1_super_zoom.jpg,Back Slogan Placement Print Check Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-punk-check-shirt-137246-154171.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-punk-check-shirt-137246-154171.html,www.koovs.com/koovs-punk-check-shirt-137246-154171.html
