,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
69,1872360,124072,138949,https://product.koovs.com/124072_e2311175c38f983993f3544e3673c21b.jpg,https://product.koovs.com/width/height/124072_e2311175c38f983993f3544e3673c21b.jpg,Lace Overlay Off-Shoulder Top,LC Waikiki,1499,600,60,"[{'href': '/pink-tops-208-124072-138949.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Tops'],['Bandeau Tops'],False,False,False,False,False,,/pink-tops-208-124072-138949.html,www.koovs.com/pink-tops-208-124072-138949.html
70,1868792,123327,138130,https://product.koovs.com/123327_977d9d1aa11fb40de35186404a25bb75.jpg,https://product.koovs.com/width/height/123327_977d9d1aa11fb40de35186404a25bb75.jpg,Asymmetric Hem Collared Top,NUSH,1299,520,60,"[{'href': '/assymetrical-hem-top-123327-138130.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Tops'],['Blouses'],False,False,False,False,False,,/assymetrical-hem-top-123327-138130.html,www.koovs.com/assymetrical-hem-top-123327-138130.html
71,1833196,116001,129816,https://product.koovs.com/116001_315b6f259c6d41495956eb3b49f78c25.jpg,https://product.koovs.com/width/height/116001_315b6f259c6d41495956eb3b49f78c25.jpg,Star Print Mesh Top,All Good Things,1299,520,60,"[{'href': '/all-good-things-mesh-top-with-ruffled-detailing-116001-129816.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Tops'],['Blouses'],True,False,False,False,False,Koovs Exclusive,/all-good-things-mesh-top-with-ruffled-detailing-116001-129816.html,www.koovs.com/all-good-things-mesh-top-with-ruffled-detailing-116001-129816.html
72,365984,88131,98184,https://product.koovs.com/88131_26f8b479fa7d6ac705f5190b1a69a71e.jpg,https://product.koovs.com/width/height/88131_26f8b479fa7d6ac705f5190b1a69a71e.jpg,Chocolate Print Tunic Top,MASABA X KOOVS,1295,518,60,"[{'href': '/masaba-x-koovs-swim-girl-vest-dress-88131-98184.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Tunic Tops'],False,False,False,False,False,,/masaba-x-koovs-swim-girl-vest-dress-88131-98184.html,www.koovs.com/masaba-x-koovs-swim-girl-vest-dress-88131-98184.html
73,1894474,128652,144148,https://product.koovs.com/128652_70ff96a8b6f9ab5043c06471b1c074f7.jpg,https://product.koovs.com/width/height/128652_70ff96a8b6f9ab5043c06471b1c074f7.jpg,Lace Pom-Pom Hem Cape Top,Privy League,1799,720,60,"[{'href': '/cape-style-blouse-with-lace-hem-141-128652-144148.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Tops'],['Blouses'],True,False,False,False,False,Koovs Exclusive,/cape-style-blouse-with-lace-hem-141-128652-144148.html,www.koovs.com/cape-style-blouse-with-lace-hem-141-128652-144148.html
74,1894357,128620,144109,https://product.koovs.com/128620_6a44a6275912dad0c72a23b3216762dd.jpg,https://product.koovs.com/width/height/128620_6a44a6275912dad0c72a23b3216762dd.jpg,Pearl Embellished Yoke Crochet Lace Blouse,Privy League,1499,600,60,"[{'href': '/ladder-lace-blouse-in-white-128620-144109.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Tops'],['Blouses'],True,False,False,False,False,Koovs Exclusive,/ladder-lace-blouse-in-white-128620-144109.html,www.koovs.com/ladder-lace-blouse-in-white-128620-144109.html
75,1894320,128608,144097,https://product.koovs.com/128608_37a212d9285048f2337f0044fe74139d.jpg,https://product.koovs.com/width/height/128608_37a212d9285048f2337f0044fe74139d.jpg,Lace Yoke Detail Peplum Top,Privy League,1999,800,60,"[{'href': '/lace-yoke-blouse-128608-144097.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Tops'],['Blouses'],True,False,False,False,False,Koovs Exclusive,/lace-yoke-blouse-128608-144097.html,www.koovs.com/lace-yoke-blouse-128608-144097.html
76,1888729,127450,142803,https://product.koovs.com/127450_7a5f1146d30ea9db930735dbb14aeeff.jpg,https://product.koovs.com/width/height/127450_7a5f1146d30ea9db930735dbb14aeeff.jpg,Tropical Print Crop Top,KOOVS,899,360,60,"[{'href': '/koovs-floral-print-top-127450-142803.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Crop Tops'],False,False,False,False,False,,/koovs-floral-print-top-127450-142803.html,www.koovs.com/koovs-floral-print-top-127450-142803.html
77,1883922,126458,141645,https://product.koovs.com/126458_f1436cb43e7383a682d31b78cad5b354.jpg,https://product.koovs.com/width/height/126458_f1436cb43e7383a682d31b78cad5b354.jpg,Scarf Print Cold Shoulder Blouse,KOOVS,999,400,60,"[{'href': '/koovs-cold-shoulder-blouse-126458-141645.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Blouses'],False,False,False,False,False,,/koovs-cold-shoulder-blouse-126458-141645.html,www.koovs.com/koovs-cold-shoulder-blouse-126458-141645.html
78,1876191,124861,139819,https://product.koovs.com/124861_b9bfb04ba9430cf8019e5e16596f8aec.jpg,https://product.koovs.com/width/height/124861_b9bfb04ba9430cf8019e5e16596f8aec.jpg,Pom-Pom Detail Off-Shoulder Top,MIWAY,1499,600,60,"[{'href': '/polyester-woven-top-124861-139819.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Tops'],['Bandeau Tops'],True,False,False,False,False,Koovs Exclusive,/polyester-woven-top-124861-139819.html,www.koovs.com/polyester-woven-top-124861-139819.html
