,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
11,1936218,137222,154145,https://product.koovs.com/154145_1755d68a55014796a1f936b0203c3de1_image1_super_zoom.jpg,https://product.koovs.com/width/height/154145_1755d68a55014796a1f936b0203c3de1_image1_super_zoom.jpg,Horizontal Stripe Raglan Sleeve T-Shirt,KOOVS,899,450,50,"[{'href': '/koovs-stripe-raglan-tshirt-137222-154145.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-stripe-raglan-tshirt-137222-154145.html,www.koovs.com/koovs-stripe-raglan-tshirt-137222-154145.html
12,1936135,137205,154128,https://product.koovs.com/154128_a2edcb18e50c4d92be15da319f4032a9_image1_super_zoom.jpg,https://product.koovs.com/width/height/154128_a2edcb18e50c4d92be15da319f4032a9_image1_super_zoom.jpg,Graffiti Print Polo Shirt,KOOVS,1299,650,50,"[{'href': '/koovs-graffiti-rugby-polo-137205-154128.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,False,,/koovs-graffiti-rugby-polo-137205-154128.html,www.koovs.com/koovs-graffiti-rugby-polo-137205-154128.html
13,1936694,137302,154243,https://product.koovs.com/154243_80c713ee1e484238924191044fbd3a7f_image1_super_zoom.jpg,https://product.koovs.com/width/height/154243_80c713ee1e484238924191044fbd3a7f_image1_super_zoom.jpg,Yarn-Dyed Horizontal Stripe T-Shirt,Garcon,899,450,50,"[{'href': '/garcon-cotton-jrsy-yarn-dyed-horizontal-stripe-tee-137302-154243.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['T-shirts'],True,False,False,False,False,Koovs Exclusive,/garcon-cotton-jrsy-yarn-dyed-horizontal-stripe-tee-137302-154243.html,www.koovs.com/garcon-cotton-jrsy-yarn-dyed-horizontal-stripe-tee-137302-154243.html
14,1936724,137308,154251,https://product.koovs.com/154251_b3e5a54b95d14940aae0adf3fd2f673b_image1_super_zoom.jpg,https://product.koovs.com/width/height/154251_b3e5a54b95d14940aae0adf3fd2f673b_image1_super_zoom.jpg,Just Chill Print T-Shirt,Garcon,799,400,50,"[{'href': '/garcon-cotton-jrsy-aop-print-tee-137308-154251.html', 'rel': 'self', 'method': 'GET'}]",['White'],['T-Shirts & Polo Shirts'],['T-shirts'],True,False,False,False,False,Koovs Exclusive,/garcon-cotton-jrsy-aop-print-tee-137308-154251.html,www.koovs.com/garcon-cotton-jrsy-aop-print-tee-137308-154251.html
15,1936237,137225,154148,https://product.koovs.com/154148_d75ab29274ce4eb4a8759c5f904bbaa4_image1_super_zoom.jpg,https://product.koovs.com/width/height/154148_d75ab29274ce4eb4a8759c5f904bbaa4_image1_super_zoom.jpg,Sticker Print Crew Neck T-Shirt,KOOVS,999,499,50,"[{'href': '/koovs-sticker-print-t-shirt-137225-154148.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-sticker-print-t-shirt-137225-154148.html,www.koovs.com/koovs-sticker-print-t-shirt-137225-154148.html
16,1936081,137194,154117,https://product.koovs.com/154117_d15a5339a44845fa95dd603512229440_image1_super_zoom.jpg,https://product.koovs.com/width/height/154117_d15a5339a44845fa95dd603512229440_image1_super_zoom.jpg,Bandana Print V-Neck T-Shirt,KOOVS,999,500,50,"[{'href': '/koovs-bandana-print-t-shirt-137194-154117.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-bandana-print-t-shirt-137194-154117.html,www.koovs.com/koovs-bandana-print-t-shirt-137194-154117.html
17,1918331,133519,149813,https://product.koovs.com/149813_f995a1672c2649deafb79e7f02ff8a7b_image1_super_zoom.jpg,https://product.koovs.com/width/height/149813_f995a1672c2649deafb79e7f02ff8a7b_image1_super_zoom.jpg,Slogan Print Colour Block T-Shirt,KOOVS,699,350,50,"[{'href': '/koovs-slogan-print-tee-251-133519-149813.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-slogan-print-tee-251-133519-149813.html,www.koovs.com/koovs-slogan-print-tee-251-133519-149813.html
18,1936735,137310,154254,https://product.koovs.com/154254_5903090c0bc549aeb9a1a0bebf2de34e_image1_super_zoom.jpg,https://product.koovs.com/width/height/154254_5903090c0bc549aeb9a1a0bebf2de34e_image1_super_zoom.jpg,Vibe Print Crew Neck T-Shirt,Garcon,799,400,50,"[{'href': '/garcon-vibe-aop--print-tee-137310-154254.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['T-Shirts & Polo Shirts'],['T-shirts'],True,False,False,False,False,Koovs Exclusive,/garcon-vibe-aop--print-tee-137310-154254.html,www.koovs.com/garcon-vibe-aop--print-tee-137310-154254.html
19,1936928,137337,154302,https://product.koovs.com/154302_12e813c339594ffe8d2f1bc0492e825e_image1_super_zoom.jpg,https://product.koovs.com/width/height/154302_12e813c339594ffe8d2f1bc0492e825e_image1_super_zoom.jpg,Skull Print Short Sleeve T-Shirt,Garcon,799,400,50,"[{'href': '/garcon-short-slv-skull-print-tee-137337-154302.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['T-Shirts & Polo Shirts'],['T-shirts'],True,False,False,False,False,Koovs Exclusive,/garcon-short-slv-skull-print-tee-137337-154302.html,www.koovs.com/garcon-short-slv-skull-print-tee-137337-154302.html
20,1936671,137299,154238,https://product.koovs.com/154238_6b22442a1d994bad834313de3919215d_image1_super_zoom.jpg,https://product.koovs.com/width/height/154238_6b22442a1d994bad834313de3919215d_image1_super_zoom.jpg,Velcro & Zip Patch Crew Neck T-Shirt,Garcon,799,400,50,"[{'href': '/garcon-short-slv-velcro-patch-print--neon-zip-tee-137299-154238.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['T-Shirts & Polo Shirts'],['T-shirts'],True,False,False,False,False,Koovs Exclusive,/garcon-short-slv-velcro-patch-print--neon-zip-tee-137299-154238.html,www.koovs.com/garcon-short-slv-velcro-patch-print--neon-zip-tee-137299-154238.html
21,1936837,137323,154279,https://product.koovs.com/154279_c4269317a3874c1183943532f942782e_image1_super_zoom.jpg,https://product.koovs.com/width/height/154279_c4269317a3874c1183943532f942782e_image1_super_zoom.jpg,Skull Foil Print T-Shirt,Garcon,799,400,50,"[{'href': '/garcon-gold-foil-skull-print-short-slv-tee-137323-154279.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['T-Shirts & Polo Shirts'],['T-shirts'],True,False,False,False,False,Koovs Exclusive,/garcon-gold-foil-skull-print-short-slv-tee-137323-154279.html,www.koovs.com/garcon-gold-foil-skull-print-short-slv-tee-137323-154279.html
23,1934795,137083,153875,https://product.koovs.com/153875_ea9c55d461884c08987e726bdbb7a081_image1_super_zoom.jpg,https://product.koovs.com/width/height/153875_ea9c55d461884c08987e726bdbb7a081_image1_super_zoom.jpg,Oversized Crew Neck T-Shirt,KOOVS,499,250,50,"[{'href': '/koovs-oversized-crew-neck-tee-137083-153875.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-oversized-crew-neck-tee-137083-153875.html,www.koovs.com/koovs-oversized-crew-neck-tee-137083-153875.html
24,1934572,137046,153827,https://product.koovs.com/153827_12fd32dce1fc4a8c85f9b545263c6110_image1_super_zoom.jpg,https://product.koovs.com/width/height/153827_12fd32dce1fc4a8c85f9b545263c6110_image1_super_zoom.jpg,Long Sleeve Polo Shirt,Brave Soul,1899,950,50,"[{'href': '/bravesoul-tshirt-137046-153827.html', 'rel': 'self', 'method': 'GET'}]",['Grey'],['T-Shirts & Polo Shirts'],['Polo Shirts'],True,False,False,False,False,INTERNATIONAL BRAND,/bravesoul-tshirt-137046-153827.html,www.koovs.com/bravesoul-tshirt-137046-153827.html
25,1919994,133921,150311,https://product.koovs.com/150311_5e7bdacbf3c449418d09bf20a0435383_image1_super_zoom.jpg,https://product.koovs.com/width/height/150311_5e7bdacbf3c449418d09bf20a0435383_image1_super_zoom.jpg,Floral Bird Print Shoulder Tape T-Shirt,Brave Soul,999,500,50,"[{'href': '/bravesoul-aop-tshirt-133921-150311.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['T-shirts'],True,False,False,False,False,INTERNATIONAL BRAND,/bravesoul-aop-tshirt-133921-150311.html,www.koovs.com/bravesoul-aop-tshirt-133921-150311.html
27,1937944,137564,154531,https://product.koovs.com/154531_7cc04ccc1bf743e69b81315e4de0ac3a_image1_super_zoom.jpg,https://product.koovs.com/width/height/154531_7cc04ccc1bf743e69b81315e4de0ac3a_image1_super_zoom.jpg,Mesh Cuban Polo Shirt,KOOVS,799,360,55,"[{'href': '/koovs-acid-lime-cuban-collar-shirt-137564-154531.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,False,,/koovs-acid-lime-cuban-collar-shirt-137564-154531.html,www.koovs.com/koovs-acid-lime-cuban-collar-shirt-137564-154531.html
28,1935005,137093,153917,https://product.koovs.com/153917_0f8c0d1fb6cd456f8c9dbaa3d210b3cf_image1_super_zoom.jpg,https://product.koovs.com/width/height/153917_0f8c0d1fb6cd456f8c9dbaa3d210b3cf_image1_super_zoom.jpg,Crew Neck T-Shirt (Pack of 2),KOOVS,699,315,55,"[{'href': '/koovs-crew-neck-tshirt-pack-of-two-137093-153917.html', 'rel': 'self', 'method': 'GET'}]",['White'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-crew-neck-tshirt-pack-of-two-137093-153917.html,www.koovs.com/koovs-crew-neck-tshirt-pack-of-two-137093-153917.html
